EXPORTACION DE ELECTRICIDAD POR DESTINO (MWh);;;;;;;;;
;;;;;;;;;
año;mes;Argentina;Brasil;TOTAL;;;;;
1999;1;0;2.223;2.223;;;;;
1999;2;0;2.233;2.233;;;;;
1999;3;0;2.587;2.587;;;;;
1999;4;0;2.334;2.334;;;;;
1999;5;0;0;0;;;;;
1999;6;47.494;0;47.495;;;;;
1999;7;101.063;0;101.063;;;;;
1999;8;31.985;0;31.985;;;;;
1999;9;0;0;0;;;;;
1999;10;19.189;0;19.189;;;;;
1999;11;140;0;140;;;;;
1999;12;0;0;0;;;;;
2000;1;0;0;0;;;;;
2000;2;0;0;0;;;;;
2000;3;0;0;0;;;;;
2000;4;0;0;0;;;;;
2000;5;43.154;0;43.154;;;;;
2000;6;138.750;0;138.750;;;;;
2000;7;198.287;0;198.287;;;;;
2000;8;1.296;0;1.296;;;;;
2000;9;83.250;0;83.250;;;;;
2000;10;186.382;0;186.382;;;;;
2000;11;110.093;0;110.093;;;;;
2000;12;5.743;0;5.743;;;;;
2001;1;4.440;0;4.440;;;;;
2001;2;3.099;1.321;4.420;;;;;
2001;3;719;5.289;6.008;;;;;
2001;4;20.635;2.359;22.994;;;;;
2001;5;250.397;650;251.047;;;;;
2001;6;225.724;39.771;265.495;;;;;
2001;7;33.590;23.160;56.750;;;;;
2001;8;50.383;4;50.387;;;;;
2001;9;163.784;2;163.786;;;;;
2001;10;303.719;0;303.719;;;;;
2001;11;111.059;0;111.059;;;;;
2001;12;153;0;153;;;;;
2002;1;0;0;0;;;;;
2002;2;0;0;0;;;;;
2002;3;0;0;0;;;;;
2002;4;172.535;0;172.535;;;;;
2002;5;258.763;0;258.763;;;;;
2002;6;292.164;19;292.183;;;;;
2002;7;193.342;12;193.354;;;;;
2002;8;335.223;33;335.256;;;;;
2002;9;275.840;0;275.840;;;;;
2002;10;149.627;11;149.638;;;;;
2002;11;121.761;0;121.761;;;;;
2002;12;109.643;0;109.643;;;;;
2003;1;127.567;43;127.610;;;;;
2003;2;33.902;11;33.913;;;;;
2003;3;247.204;10;247.214;;;;;
2003;4;86.585;21;86.606;;;;;
2003;5;157.722;0;157.722;;;;;
2003;6;144.923;134;145.057;;;;;
2003;7;8.149;0;8.149;;;;;
2003;8;421;0;421;;;;;
2003;9;0;0;0;;;;;
2003;10;0;0;0;;;;;
2003;11;97.597;0;97.597;;;;;
2003;12;49.728;0;49.728;;;;;
2004;1;3.128;0;3.128;;;;;
2004;2;0;0;0;;;;;
2004;3;0;11;11;;;;;
2004;4;0;0;0;;;;;
2004;5;0;0;0;;;;;
2004;6;0;0;0;;;;;
2004;7;0;0;0;;;;;
2004;8;0;0;0;;;;;
2004;9;0;0;0;;;;;
2004;10;0;0;0;;;;;
2004;11;6.930;97;7.027;;;;;
2004;12;66;0;66;;;;;
2005;1;0;0;0;;;;;
2005;2;0;0;0;;;;;
2005;3;0;0;0;;;;;
2005;4;0;0;0;;;;;
2005;5;136.939;7.497;144.436;;;;;
2005;6;199.691;0;199.691;;;;;
2005;7;101.532;0;101.532;;;;;
2005;8;4.737;1.183;5.920;;;;;
2005;9;73.868;0;73.868;;;;;
2005;10;288.588;1.309;289.897;;;;;
2005;11;10.136;0;10.136;;;;;
2005;12;141;0;141;;;;;
2006;1;0;0;0;;;;;
2006;2;160;0;160;;;;;
2006;3;0;0;0;;;;;
2006;4;0;0;0;;;;;
2006;5;0;0;0;;;;;
2006;6;6.191;0;6.191;;;;;
2006;7;464;0;464;;;;;
2006;8;0;0;0;;;;;
2006;9;0;108;108;;;;;
2006;10;0;9.498;9.498;;;;;
2006;11;0;0;0;;;;;
2006;12;0;0;0;;;;;
2007;1;0;66;66;;;;;
2007;2;0;0;0;;;;;
2007;3;20.011;309;20.320;;;;;
2007;4;45.064;11;45.075;;;;;
2007;5;109.317;0;109.317;;;;;
2007;6;33.986;0;33.986;;;;;
2007;7;88.607;0;88.607;;;;;
2007;8;86.439;0;86.439;;;;;
2007;9;8.083;1.654;9.737;;;;;
2007;10;104.838;18.502;123.340;;;;;
2007;11;54.149;13.247;67.396;;;;;
2007;12;25.822;1;25.823;;;;;
2008;1;0;0;0;;;;;
2008;2;4;1;5;;;;;
2008;3;0;0;0;;;;;
2008;4;0;0;0;;;;;
2008;5;0;0;0;;;;;
2008;6;8.177;0;8.177;;;;;
2008;7;0;0;0;;;;;
2008;8;0;0;0;;;;;
2008;9;0;65;65;;;;;
2008;10;0;10.377;10.377;;;;;
2008;11;0;54;54;;;;;
2008;12;0;3.214;3.214;;;;;
2009;1;0;0;0;;;;;
2009;2;0;0;0;;;;;
2009;3;0;0;0;;;;;
2009;4;0;0;0;;;;;
2009;5;0;0;0;;;;;
2009;6;0;0;0;;;;;
2009;7;0;0;0;;;;;
2009;8;0;0;0;;;;;
2009;9;0;0;0;;;;;
2009;10;88;9.247;9.335;;;;;
2009;11;20.041;3.328;23.369;;;;;
2009;12;57.539;2.127;59.666;;;;;
2010;1;51.880;20;51.900;;;;;
2010;2;33.069;0;33.069;;;;;
2010;3;10.446;0;10.446;;;;;
2010;4;0;0;0;;;;;
2010;5;0;0;0;;;;;
2010;6;136.871;0;136.871;;;;;
2010;7;4.924;0;4.924;;;;;
2010;8;139.523;0;139.523;;;;;
2010;9;103.782;0;103.782;;;;;
2010;10;29.801;0;29.801;;;;;
2010;11;0;0;0;;;;;
2010;12;0;0;0;;;;;
2011;1;0;0;0;;;;;
2011;2;0;0;0;;;;;
2011;3;0;0;0;;;;;
2011;4;0;0;0;;;;;
2011;5;0;0;0;;;;;
2011;6;0;0;0;;;;;
2011;7;194;0;194;;;;;
2011;8;0;0;0;;;;;
2011;9;0;0;0;;;;;
2011;10;0;0;0;;;;;
2011;11;0;0;0;;;;;
2011;12;0;0;0;;;;;
2012;1;0;0;0;;;;;
2012;2;0;0;0;;;;;
2012;3;0;0;0;;;;;
2012;4;0;0;0;;;;;
2012;5;0;0;0;;;;;
2012;6;0;0;0;;;;;
2012;7;0;0;0;;;;;
2012;8;0;0;0;;;;;
2012;9;0;0;0;;;;;
2012;10;65.439;0;65.439;;;;;
2012;11;25.552;0;25.552;;;;;
2012;12;0;0;0;;;;;
2013;1;0;0;0;;;;;
2013;2;360;0;360;;;;;
2013;3;0;0;0;;;;;
2013;4;0;0;0;;;;;
2013;5;0;0;0;;;;;
2013;6;0;0;0;;;;;
2013;7;5.414;0;5.414;;;;;
2013;8;0;0;0;;;;;
2013;9;884;0;884;;;;;
2013;10;0;0;0;;;;;
2013;11;142.141;0;142.141;;;;;
2013;12;47.208;0;47.208;;;;;
2014;1;85.541;0;85.541;;;;;
2014;2;4.811;0;4.811;;;;;
2014;3;0;0;0;;;;;
2014;4;52.033;0;52.033;;;;;
2014;5;29.905;0;29.905;;;;;
2014;6;0;0;0;;;;;
2014;7;144.181;0;144.181;;;;;
2014;8;67.095;0;67.095;;;;;
2014;9;185.897;0;185.897;;;;;
2014;10;277.404;0;277.404;;;;;
2014;11;192.428;0;192.428;;;;;
2014;12;83.474;0;83.474;;;;;
2015;1;149.465;0;149.465;;;;;
2015;2;2.395;0;2.395;;;;;
2015;3;0;0;0;;;;;
2015;4;0;0;0;;;;;
2015;5;213;0;213;;;;;
2015;6;0;0;0;;;;;
2015;7;0;0;0;;;;;
2015;8;76.182;0;76.182;;;;;
2015;9;39.510;0;39.510;;;;;
2015;10;336.316;0;336.316;;;;;
2015;11;324.741;3.762;328.503;;;;;
2015;12;76.315;2.773;79.088;;;;;
2016;1;136.819;14.016;150.835;;;;;
2016;2;54.062;33;54.095;;;;;
2016;3;4.007;5.623;9.630;;;;;
2016;4;112.984;2.307;115.291;;;;;
2016;5;104.201;0;104.201;;;;;
2016;6;185.109;486;185.595;;;;;
2016;7;60.348;0;60.348;;;;;
2016;8;0;0;0;;;;;
2016;9;0;0;0;;;;;
2016;10;1.656;0;1.656;;;;;
2016;11;0;0;0;;;;;
2016;12;0;0;0;;;;;
2017;1;3.981;0;3.981;;;;;
2017;2;12.426;198;12.624;;;;;
2017;3;127.066;638;127.704;;;;;
2017;4;113.143;138;113.281;;;;;
2017;5;182.351;24.217;206.568;;;;;
2017;6;0;0;0;;;;;
2017;7;0;37.568;37.568;;;;;
2017;8;3.548;184.802;188.350;;;;;
2017;9;0;231.637;231.637;;;;;
2017;10;8.118;253.518;261.636;;;;;
2017;11;18.227;208.315;226.542;;;;;
2017;12;8.617;43.160;51.776;;;;;
2018;1;5.192;0;5.192;;;;;
2018;2;5.662;3.134;8.796;;;;;
2018;3;6.233;281;6.513;;;;;
2018;4;5.632;422;6.054;;;;;
2018;5;17.736;40.385;58.121;;;;;
2018;6;10.581;41.204;51.785;;;;;
2018;7;12.010;82.455;94.464;;;;;
2018;8;11.464;86.772;98.236;;;;;
2018;9;21.007;209.707;230.714;;;;;
2018;10;17.908;185.481;203.389;;;;;
2018;11;23.718;199.902;223.620;;;;;
2018;12;179.335;28.585;207.920;;;;;
2019;1;393.864;60.673;454.537;;;;;
2019;2;110.320;105.423;215.744;;;;;
2019;3;236.414;51.005;287.418;;;;;
2019;4;141.990;43.554;185.543;;;;;
2019;5;324.025;35.967;359.992;;;;;
2019;6;15.848;11.489;27.336;;;;;
2019;7;98.604;6.539;105.144;;;;;
2019;8;341.358;0;341.358;;;;;
2019;9;60.051;74;60.125;;;;;
2019;10;248.104;33.930;282.034;;;;;
2019;11;354.649;156.851;511.500;;;;;
2019;12;81.782;97.888;179.670;;;;;
2020;1;13.937;24.265;38.202;;;;;
2020;2;26.241;0;26.241;;;;;
2020;3;14.828;1.237;16.065;;;;;
2020;4;80.769;10;80.779;;;;;
2020;5;73.390;0;73.390;;;;;
2020;6;101.318;0;101.318;;;;;
2020;7;225.213;0;225.213;;;;;
2020;8;58.866;0;58.866;;;;;
2020;9;32.699;9.393;42.092;;;;;
2020;10;40.119;142.910;183.029;;;;;
2020;11;12.435;191.225;203.660;;;;;
2020;12;29.324;69.374;98.698;;;;;
2021;1;12.962;171.235;184.197;;;;;
2021;2;15.540;137.542;153.082;;;;;
2021;3;14.676;10.219;24.894;;;;;
2021;4;25.965;28.536;54.501;;;;;
2021;5;89.793;28.976;118.769;;;;;
2021;6;18.988;210.273;229.261;;;;;
2021;7;47.801;303.368;351.169;;;;;
2021;8;2.691;328.363;331.054;;;;;
2021;9;294.210;386.179;680.390;;;;;
2021;10;84.787;351.827;436.614;;;;;
2021;11;4.648;208.570;213.218;;;;;
2021;12;15.585;50.644;66.229;;;;;
2022;1;83.187;28.506;111.693;;;;;
2022;2;97.965;1.912;99.878;;;;;
2022;3;25.174;10;25.184;;;;;
2022;4;82.826;0;82.826;;;;;
2022;5;60.437;0;60.437;;;;;
2022;6;116.749;0;116.749;;;;;
2022;7;437.575;34.380;471.955;;;;;
2022;8;352.619;14.008;366.627;;;;;
2022;9;68.068;0;68.068;;;;;
2022;10;0;0;0;;;;;
2022;11;3.014;0;3.014;;;;;
2022;12;9.848;0;9.848;;;;;
2023;1;13.348;0;13.348;;;;;
2023;2;27.605;0;27.605;;;;;
2023;3;45.821;0;45.821;;;;;
2023;4;10.736;0;10.736;;;;;
2023;5;956;0;956;;;;;
2023;6;102;0;102;;;;;
2023;7;8.603;0;8.603;;;;;
2023;8;47.731;965;48.696;;;;;
2023;9;64.866;2.335;67.201;;;;;
2023;10;0;0;0;;;;;
2023;11;2.748;3.734;6.482;;;;;
2023;12;6.628;8.134;14.762;;;;;
2024;1;2.981;6.518;9.499;;;;;
2024;2;74.456;4.246;78.702;;;;;
2024;3;52.189;14.784;66.973;;;;;
2024;4;0;4.015;4.015;;;;;
2024;5;304.309;12.464;316.773;;;;;
2024;6;202.448;5.470;207.917;;;;;
2024;7;118.155;389;118.544;;;;;
2024;8;352.455;21.261;373.716;;;;;
2024;9;155.179;32.494;187.673;;;;;
2024;10;290.720;83.672;374.392;;;;;
2024;11;225.059;27.970;253.029;;;;;
2024;12;31.675;3.317;34.992;;;;;
2025;1;0;2.271;2.271;;;;;
2025;2;4.934;0;4.934;;;;;
2025;3;3.127;28;3.155;;;;;
2025;4;0;0;0;;;;;
2025;5;27.937;0;27.937;;;;;
2025;6;138.040;0;138.040;;;;;
2025;7;161.688;0;161.688;;;;;
2025;8;245.088;0;245.088;;;;;
2025;9;301.635;1.673;303.308;;;;;
2025;10;114.340;0;114.340;;;;;
